Author,Novel,Chapter,Name,Context esp,Latitude,Longitude,Character 1,Character 2,Character 3,Exactness,Real or Fictional,Page,Category,Structure Type,Date in Novel
,,,,,,,,,,,,,,,
Susana Martín Gijón,Progenie,4,Barrio Las Letanías,El cuerpo de Soledad se encuentra en el barrio de Las Letanías. Esta información no se revela hasta el capítulo 14.,37.36135766,-5.962098811,Camino,Pascual,,5,Real,,Dead body,Exterior,
Susana Martín Gijón,Progenie,6,Santa Justa,El padre de la víctima llega de Madrid,,,Juan,,,1,Real,,Victim,Transport,
Susana Martín Gijón,Progenie,7,Tanatorio de San Jerónimo,Autopsia de la víctima,37.43124683,-5.979225439,Camino,Pascual,,1,Real,,Investigator,Municipal,
Susana Martín Gijón,Progenie,12,Brigada Policía Nacional en Sevilla,Donde trabajan Camino y su equipo,37.37613144,-6.006079715,Camino,Pascual,,1,Real,,Investigator,Municipal,
Susana Martín Gijón,Progenie,13,Bar La Campana,"Alonso, ex-novio de la víctima, se entera de su muerte mientras toma un café aquí",37.39258743,-5.994816352,Alonso,,,1,Real,,Suspect,Bar Restaurant,
Susana Martín Gijón,Progenie,13,Calle Sierpes,Alonso recorre esta calle para llegar a la oficina,37.39223155,-5.99485122,Alonso,,,2,Real,,Suspect,Exterior,
Susana Martín Gijón,Progenie,15,Barrio Las Letanías,Lupe intenta entrevistar a los vecios sobre el atropello,37.36121482,-5.962168549,Lupe,,,5,Real,,Investigator,Exterior,
Susana Martín Gijón,Progenie,20,Oficina cerca de Calle O'Donnell,Alonso trabaja en una oficina cerca de esta calle céntrica. La policía llega para entrevistarle,37.39170638,-5.996217815,Camino,Alonso,,5,Fictional,,Suspect,Business,
Susana Martín Gijón,Progenie,25,Apartamento en Triana,"Alonso vive aquí, Camino y Pascual hacen vigilancia. Ubicación no exacta",37.38028605,-6.000008826,Camino,Alonso,,5,Fictional,,Suspect,Home,
Susana Martín Gijón,Progenie,25,puente de San Telmo,"Alonso conduce de noche, Camino le sigue",37.38075494,-5.996285921,Camino,Alonso,,1,Real,,Suspect,Monument,
Susana Martín Gijón,Progenie,25,Torre del Oro,Camino comenta sobre la Torre mientras le sigue a Alonso en coche,37.38249409,-5.996479039,Camino,Alonso,,1,Real,,Investigator,Monument,
Susana Martín Gijón,Progenie,25,Parking cerca de la Plaza de España,Alonso aparca aquí y entra en un hotel cerca,37.37763887,-5.984521751,Camino,Alonso,,3,Real,,Suspect,Transport,
Susana Martín Gijón,Progenie,26,Hotel Pasarela,"Alonso entra en el hotel de noche, Camino le vigila",37.37714225,-5.984037613,Camino,Alonso,,1,Real,,Suspect,Hotel,
Susana Martín Gijón,Progenie,27,Apartamento en Sevilla Este,"Apartamento de la víctima, después de separarse de su novio. Camino y Pascual registran el piso. Ubicación no exacta",37.39544256,-5.920774205,Camino,Pascual,,5,Fictional,,Victim,Home,
Susana Martín Gijón,Progenie,31,Apartamento en el barrio de Santa Cruz,"La segunda víctima se encuentra en su casa, ubicación no exacta",37.38583825,-5.989145077,Camino,Pascual,,5,Fictional,,Dead body,Home,
Susana Martín Gijón,Progenie,39,Bar Contramá,"No existe. Lupe entrevista a Katarzyna, agente de la víctima",,,Lupe,,,,Fictional,,,,
Susana Martín Gijón,Progenie,46,Servicio de Patología Forense de la provincia de Sevilla,Camino y Micaela usan el dedo de la víctima para desbloquear el móvil,37.43124683,-5.979225439,Camino,Micaela,,1,Real,,Victim,Municipal,
Susana Martín Gijón,Progenie,56,Juzgados,Camino consigue entrar en el piso de la víctima a través del juez,37.38127773,-5.987303555,Camino,Pascual,,1,Real,,Investigator,Municipal,
Susana Martín Gijón,Progenie,58,Cementerio de San Fernando,Lupe asiste al entierro de la segunda victima,37.41587583,-5.982472095,Lupe,,,1,Real,,Investigator,Municipal,
Susana Martín Gijón,Progenie,63,Parque de María Luisa,Camino y su equipo examinan la tercera víctima,37.3758357,-5.990072712,Camino,Pascual,,1,Real,,Dead body,Municipal,
Susana Martín Gijón,Progenie,68,Salsoteca,Camino termina su noche aquí después de investigar la tercera muerte,37.40694929,-5.956331497,Camino,,,1,Real,,Investigator,Bar Restaurant,
Susana Martín Gijón,Progenie,88,Restaurante Abantal,Alonso le lleva a Nerea al restaurante,37.38804906,-5.983670574,Alonso,Nerea,,1,Real,,Suspect,Bar Restaurant,
Susana Martín Gijón,Progenie,91,Barrio de Santa Clara,"Camino habla con el doctor jubilado, sospechoso",37.40295345,-5.950911467,Camino,,,3,Fictional,,Suspect,Home,
